M1,Li,B,C,Na,Mg,Al,Si,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,Hf,Ta,W,Re,Os,Ir,Pt,Au,Pb,Bi
Li,0.0,-0.968762612738,-0.833654290702,0.0,-0.76882495246,-0.974747911002,-1.33611933452,0.0,0.0,-0.779544790793,-1.05933121288,-1.54018930841,-1.13677576286,-0.824554773593,-0.682457744658,-0.538858510865,-0.40988221996,-0.474847698831,-0.428730394762,-0.38909023746,-0.658728775168,-0.614672180516,0.0,0.0,-0.62460621246,-0.938171269127,-1.52887226619,-1.08282829369,-0.86641282632,-0.497663669502,0.0,0.0,0.0,0.0,-0.444528115793,-0.402938406952,-0.544368759127,-0.661351441342,0.0,0.0,-1.68157644452,-1.36038870702,-0.922831665865,-0.815517404452,-0.543327142229,-0.413074707229,0.0,0.0,0.0,-0.389593755793
B,-0.968762612738,0.0,0.0,-0.639340803988,-0.425956637489,0.0,0.0,0.0,-0.540496548571,-1.34643495619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.20045217926,0.0,-1.64119704048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18574752059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,-0.833654290702,0.0,0.0,-0.612228059654,-0.808967804627,-0.607266602775,-0.880097438324,0.0,-0.6250405049020002,-1.08391220838,-0.932126095503,-1.3917684286175014,0.0,-0.27876008550272763,0.0,0.0,0.0,0.0,0.0,-0.258751032753,0.0,0.0,0.0,-0.5486455541732643,-1.04958167088,-0.991904190048,-1.4380012427825015,0.0,-0.3532040802824987,0.0,0.0,0.0,0.0,-0.0934316358775,-0.12472870459363605,0.0,0.0,0.0,-0.592489174035,-0.971767785877,-1.509012937782499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0774853721275,0.0
Na,0.0,-0.639340803988,-0.612228059654,0.0,0.0,0.0,-1.21974653619,0.0,0.0,0.0,0.0,0.0,-0.91982518744,-0.59269578244,-0.341738801228,0.0,-0.120920170793,-0.03162371246,0.0,-0.116708185793,0.0,-0.40019481869,0.0,0.0,0.0,0.0,-0.813934104952,-0.91332528619,-0.556017400493,-0.0528283907933,0.0,0.0,0.0,0.0,0.0,-0.212637400793,0.0,0.0,0.0,-0.342428160476,-0.908091911952,-1.09667474244,-0.64360091769,-0.427767176518,-0.190579086952,-0.160288321627,0.0,0.0,0.0,0.0
Mg,-0.76882495246,-0.425956637489,-0.808967804627,0.0,0.0,0.0,-1.36749380056,0.0,0.0,-0.955036760952,0.0,-1.47905177161,-1.13806195452,-0.87824735119,-0.713249203087,0.0,0.0,0.0,0.0,-0.687073306952,0.0,-0.77158147619,0.0,0.0,-0.852996028952,0.0,-1.520541176190001,-1.1746029745233326,-1.05572508869,0.0,0.0,0.0,0.0,0.0,0.0,-0.54250747744,-0.662705625476,0.0,0.0,0.0,-1.66163106744,-1.38732325071,-0.851145374871,-0.566279092023,0.0,0.0,0.0,0.0,0.0,0.0
Al,-0.974747911002,0.0,-0.607266602775,0.0,0.0,0.0,0.0,0.0,0.0,-1.36333986199,0.0,-1.60580910887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25333986381,0.0,-1.0472349304760002,-0.6842153885514269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.04119175078,-1.01557835548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si,-1.33611933452,0.0,-0.880097438324,-1.21974653619,-1.36749380056,0.0,0.0,0.0,-1.2187698582,-1.42220600619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97069540369,0.0,0.0,0.0,0.0,-1.3917090266,-1.52234609681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35510258688,-1.0819433258200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93233898276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04040233376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,-0.540496548571,-0.6250405049020002,0.0,0.0,0.0,-1.2187698582,0.0,0.0,0.0,0.0,0.0,-0.94324372619,-0.66560485244,-0.453633630285,0.0,-0.161153555793,0.0,0.0,-0.0359729041267,0.0,-0.313229574523,0.0,0.0,0.0,0.0,0.0,-0.94869991869,-0.59011180619,-0.03669103494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.12205383869,-0.68216691419,-0.43978031781,-0.143188665859,0.0,-0.220102834127,0.0,0.0,0.0
Ca,-0.779544790793,-1.34643495619,-1.08391220838,0.0,-0.955036760952,-1.36333986199,-1.42220600619,0.0,0.0,0.0,0.0,-1.55403409661,-1.38002460405,-1.15161007619,-1.03279593765,-0.943219035575,-0.82154400602,-0.804345499127,0.0,-0.863113776952,-0.960135216825,-0.985083455224,0.0,0.0,0.0,0.0,-1.68241347119,-1.28563855786,-1.03231169119,-0.724366270329,0.0,0.0,-0.322949883147,0.0,-0.793501810595,-0.896296708836,-1.17649696648,-1.35503177952,0.0,0.0,-1.79473922994,-1.38641262952,-0.869923193428,-1.00540373529,-0.748452531868,0.0,0.0,-0.903314765595,0.0,-1.09943238448
Sc,-1.05933121288,0.0,-0.932126095503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.86329840639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.20356191648,0.0,0.0,0.0,0.0,0.0,0.0,-1.80606291119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ti,-1.54018930841,0.0,-1.3917684286175014,0.0,-1.47905177161,-1.60580910887,0.0,0.0,0.0,-1.55403409661,-1.86329840639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15424461268,-1.30331475893,0.0,0.0,0.0,-1.55395335786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16793916518,0.0,0.0,0.0,0.0,-1.44167708655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,-1.13677576286,0.0,0.0,-0.91982518744,-1.13806195452,0.0,0.0,0.0,-0.94324372619,-1.38002460405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6034150356971436,0.0,-0.607945355396667,-0.7509328844760006,-0.7954465884759998,0.0,-0.93332380369,-1.31723426244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93984151619,-1.22765558286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr,-0.824554773593,0.0,-0.27876008550272763,-0.59269578244,-0.87824735119,0.0,0.0,0.0,-0.66560485244,-1.15161007619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.342437439523,-0.400433194345,0.0,0.0,-0.66476799244,-1.10731147525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99931561619,0.0,-0.5150789078399985,0.0,0.0,0.0,0.0,-0.407181768476,0.0,0.0,0.0
Mn,-0.682457744658,0.0,0.0,-0.341738801228,-0.713249203087,0.0,0.0,0.0,-0.453633630285,-1.03279593765,0.0,0.0,0.0,0.0,0.0,0.0,-0.308727727785,0.0,0.0,-0.274798617304,-0.358514582304,-0.2629386412473683,0.0,-0.449416145285,-0.910717312653,0.0,0.0,0.0,-0.529471067785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.336168453316,-0.820471894035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fe,-0.538858510865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.943219035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.817906781734,0.0,0.0,-0.4497468423297976,-0.18775339569714333,0.0,-0.153542316476,-0.205587810476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.714054590306,0.0,-0.5645444599828551,-0.39819436369,0.0,0.0,0.0,-0.261132056476,0.0,0.0,0.0
Co,-0.40988221996,0.0,0.0,-0.120920170793,0.0,0.0,0.0,0.0,-0.161153555793,-0.82154400602,0.0,0.0,0.0,0.0,-0.308727727785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119000825793,-0.687478375952,0.0,-0.757371523197,-0.492984171769,-0.221455164147,0.0,0.0,0.0,0.0,-0.037805615476,-0.10903485214266766,0.0,0.0,0.0,-0.105336213253,-0.52845069696,0.0,-0.567753846054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni,-0.474847698831,0.0,0.0,-0.03162371246,0.0,0.0,0.0,0.0,0.0,-0.804345499127,0.0,0.0,-0.6034150356971436,0.0,0.0,0.0,0.0,0.0,-0.085997032476,-0.22118783947599993,0.0,0.0,0.0,0.0,-0.68088446996,0.0,0.0,-0.520392564626,-0.313352727063,0.0,0.0,0.0,0.0,-0.138336590476,-0.14726106714266649,0.0,0.0,0.0,0.0,-0.5878973274599993,0.0,-0.6763180931971411,-0.25533109373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cu,-0.428730394762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085997032476,0.0,0.0,0.0,0.0,0.0,0.0,-0.623954527279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.472510362698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn,-0.38909023746,0.0,-0.258751032753,-0.116708185793,-0.687073306952,0.0,-0.97069540369,0.0,-0.0359729041267,-0.863113776952,0.0,-1.15424461268,-0.607945355396667,-0.342437439523,-0.274798617304,0.0,0.0,-0.22118783947599993,0.0,0.0,0.0,-0.38156647494,0.0,0.0,-0.717195412952,0.0,-1.05192641869,-0.584731587857,-0.4511185599399994,0.0,0.0,0.0,0.0,0.0,0.0,-0.14674060619,-0.0373542195233,0.0,0.0,-0.570439560952,-1.17940221994,-0.691705409523,-0.4372218318149992,-0.0689140970233,0.0,0.0,0.0,0.0,0.0,0.0
Ga,-0.658728775168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.960135216825,0.0,-1.30331475893,-0.7509328844760006,-0.400433194345,-0.358514582304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.800149983877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.651597894591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ge,-0.614672180516,0.0,0.0,-0.40019481869,-0.77158147619,0.0,0.0,0.0,-0.313229574523,-0.985083455224,0.0,0.0,-0.7954465884759998,0.0,-0.2629386412473683,0.0,0.0,0.0,0.0,-0.38156647494,0.0,0.0,0.0,-0.230260459523,-0.818415604452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.690314563503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90324381228,-1.71014919067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81807000467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb,0.0,0.0,-0.5486455541732643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93332380369,-0.66476799244,-0.449416145285,0.0,-0.119000825793,0.0,0.0,0.0,0.0,-0.230260459523,0.0,0.0,0.0,0.0,0.0,-0.93266633994,-0.59321869619,-0.01656714369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1043291076,-0.66094230719,-0.36320772869,-0.06658216244,0.0,0.0,0.0,0.0,0.0
Sr,-0.62460621246,-1.20045217926,-1.04958167088,0.0,-0.852996028952,-1.25333986381,-1.3917090266,0.0,0.0,0.0,0.0,-1.55395335786,-1.31723426244,-1.10731147525,-0.910717312653,-0.817906781734,-0.687478375952,-0.68088446996,-0.623954527279,-0.717195412952,-0.800149983877,-0.818415604452,0.0,0.0,0.0,0.0,-1.48849693119,-1.23375079952,-1.12417712119,-0.685116103163,0.0,0.0,0.0,0.0,-0.601825217549,0.0,-1.00197647048,0.0,0.0,0.0,-1.60309981494,-1.33444550744,-0.964221148163,-0.864228097023,-0.722352417449,-0.67588759102,0.0,0.0,0.0,-0.945251978476
Y,-0.938171269127,0.0,-0.991904190048,0.0,0.0,0.0,-1.52234609681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90324381228,0.0,0.0,0.0,0.0,0.0,-1.11251723643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56986640891,0.0,0.0,0.0,0.0,-1.22091728193,-0.904885552928,0.0,0.0,0.0,0.0,0.0,0.0
Zr,-1.52887226619,-1.64119704048,-1.4380012427825015,-0.813934104952,-1.520541176190001,-1.0472349304760002,0.0,-1.93233898276,0.0,-1.68241347119,0.0,0.0,0.0,0.0,0.0,0.0,-0.757371523197,0.0,0.0,-1.05192641869,0.0,0.0,-1.71014919067,0.0,-1.48849693119,0.0,0.0,0.0,0.0,0.0,-1.03432092177,-0.99917137034,0.0,0.0,-1.1601855964283336,-0.8910054752644435,0.0,0.0,0.0,-1.43410673994,-1.92663734994,0.0,0.0,0.0,0.0,-1.13489783034,-1.25021647605,0.0,0.0,0.0
Nb,-1.08282829369,0.0,0.0,-0.91332528619,-1.1746029745233326,-0.6842153885514269,0.0,0.0,-0.94869991869,-1.28563855786,0.0,0.0,0.0,0.0,0.0,-0.4497468423297976,-0.492984171769,-0.520392564626,0.0,-0.584731587857,0.0,0.0,0.0,-0.93266633994,-1.23375079952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93971986494,-1.16491865613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo,-0.86641282632,0.0,-0.3532040802824987,-0.556017400493,-1.05572508869,0.0,0.0,0.0,-0.59011180619,-1.03231169119,0.0,0.0,0.0,0.0,-0.529471067785,-0.18775339569714333,-0.221455164147,-0.313352727063,0.0,-0.4511185599399994,0.0,0.0,0.0,-0.59321869619,-1.12417712119,-1.11251723643,0.0,0.0,0.0,0.0,0.0,-0.272367797897,0.0,0.0,0.0,0.0,0.0,0.0,-0.61658987744,-1.02894181166,0.0,0.0,0.0,0.0,0.0,0.0,-0.414842831647,0.0,0.0,0.0
Ru,-0.497663669502,0.0,0.0,-0.0528283907933,0.0,0.0,0.0,0.0,-0.03669103494,-0.724366270329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01656714369,-0.685116103163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01795432494,-0.59566997602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.153542316476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03432092177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.205587810476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99917137034,0.0,-0.272367797897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.322949883147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd,0.0,0.0,-0.0934316358775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037805615476,-0.138336590476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In,-0.444528115793,0.0,-0.12472870459363605,0.0,0.0,0.0,0.0,0.0,0.0,-0.793501810595,-1.20356191648,-1.16793916518,0.0,0.0,0.0,0.0,-0.10903485214266766,-0.14726106714266649,0.0,0.0,0.0,0.0,0.0,0.0,-0.601825217549,0.0,-1.1601855964283336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.488436783532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn,-0.402938406952,0.0,0.0,-0.212637400793,-0.54250747744,0.0,0.0,0.0,0.0,-0.896296708836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14674060619,0.0,0.0,0.0,0.0,0.0,0.0,-0.8910054752644435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sb,-0.544368759127,0.0,0.0,0.0,-0.662705625476,0.0,0.0,0.0,0.0,-1.17649696648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0373542195233,0.0,0.0,0.0,0.0,-1.00197647048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.891343640476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te,-0.661351441342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35503177952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56986640891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cs,0.0,0.0,-0.592489174035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93984151619,0.0,-0.336168453316,0.0,-0.105336213253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93971986494,-0.61658987744,-0.01795432494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11375605994,-0.66592616219,-0.38063890994,-0.07638462494,0.0,0.0,0.0,0.0,0.0
Ba,0.0,-1.18574752059,-0.971767785877,-0.342428160476,0.0,-1.04119175078,-1.35510258688,0.0,0.0,0.0,0.0,-1.44167708655,-1.22765558286,-0.99931561619,-0.820471894035,-0.714054590306,-0.52845069696,-0.5878973274599993,-0.472510362698,-0.570439560952,-0.651597894591,-0.690314563503,0.0,0.0,0.0,0.0,-1.43410673994,-1.16491865613,-1.02894181166,-0.59566997602,0.0,0.0,0.0,0.0,-0.488436783532,0.0,-0.891343640476,0.0,0.0,0.0,-1.53221068869,-1.29712972176,-1.09356670666,-1.34388260279,-0.646078433163,-0.582581392449,0.0,0.0,0.0,-0.853467797476
Hf,-1.68157644452,0.0,-1.509012937782499,-0.908091911952,-1.66163106744,-1.01557835548,-1.0819433258200002,-2.04040233376,0.0,-1.79473922994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17940221994,0.0,0.0,-1.81807000467,0.0,-1.60309981494,0.0,-1.92663734994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53221068869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta,-1.36038870702,0.0,0.0,-1.09667474244,-1.38732325071,0.0,0.0,0.0,-1.12205383869,-1.38641262952,-1.80606291119,0.0,0.0,-0.5150789078399985,0.0,-0.5645444599828551,-0.567753846054,-0.6763180931971411,0.0,-0.691705409523,0.0,0.0,0.0,-1.1043291076,-1.33444550744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11375605994,-1.29712972176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,-0.922831665865,0.0,0.0,-0.64360091769,-0.851145374871,0.0,0.0,0.0,-0.68216691419,-0.869923193428,0.0,0.0,0.0,0.0,0.0,-0.39819436369,0.0,-0.25533109373,0.0,-0.4372218318149992,0.0,0.0,0.0,-0.66094230719,-0.964221148163,-1.22091728193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66592616219,-1.09356670666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re,-0.815517404452,0.0,0.0,-0.427767176518,-0.566279092023,0.0,0.0,0.0,-0.43978031781,-1.00540373529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0689140970233,0.0,0.0,0.0,-0.36320772869,-0.864228097023,-0.904885552928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38063890994,-1.34388260279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os,-0.543327142229,0.0,0.0,-0.190579086952,0.0,0.0,0.0,0.0,-0.143188665859,-0.748452531868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06658216244,-0.722352417449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07638462494,-0.646078433163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir,-0.413074707229,0.0,0.0,-0.160288321627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67588759102,0.0,-1.13489783034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.582581392449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.220102834127,0.0,0.0,0.0,0.0,-0.407181768476,0.0,-0.261132056476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25021647605,0.0,-0.414842831647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Au,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.903314765595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pb,0.0,0.0,-0.0774853721275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi,-0.389593755793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.09943238448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.945251978476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.853467797476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
